date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2006-03-15,Morogoro,Morogoro Urban,Morogoro,89,-6.82,37.67,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,83416.67,70.39
2006-03-15,Mtwara,Mtwara Urban,Mtwara DC,91,-10.27,40.18,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,82500,69.62
2006-03-15,Mtwara,Mtwara Urban,Mtwara DC,91,-10.27,40.18,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,81388.89,68.68
2006-03-15,Mwanza,Nyamagana,Mwanza,92,-2.52,32.9,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,29230.77,24.67
2006-03-15,Mwanza,Nyamagana,Mwanza,92,-2.52,32.9,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,73366.67,61.91
2006-03-15,Mwanza,Nyamagana,Mwanza,92,-2.52,32.9,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,66833.33,56.4
2006-03-15,Rukwa,Sumbawanga Urban,Sumbawanga,100,-7.97,31.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,23984.62,20.24
2006-03-15,Rukwa,Sumbawanga Urban,Sumbawanga,100,-7.97,31.62,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,75681.82,63.87
2006-03-15,Rukwa,Sumbawanga Urban,Sumbawanga,100,-7.97,31.62,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,39625,33.44
2006-03-15,Ruvuma,Songea Urban,Songea,95,-10.68,35.65,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,28666.67,24.19
2006-03-15,Ruvuma,Songea Urban,Songea,95,-10.68,35.65,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,68333.33,57.67
2006-03-15,Ruvuma,Songea Urban,Songea,95,-10.68,35.65,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,63250,53.38
2006-03-15,Shinyanga,Shinyanga Urban,Shinyanga,93,-3.67,33.43,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,34125,28.8
2006-03-15,Shinyanga,Shinyanga Urban,Shinyanga,93,-3.67,33.43,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,67153.85,56.67
2006-03-15,Shinyanga,Shinyanga Urban,Shinyanga,93,-3.67,33.43,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,69041.67,58.26
2006-03-15,Singida,Singida Urban,Singida,94,-4.82,34.75,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,31708.33,26.76
2006-03-15,Singida,Singida Urban,Singida,94,-4.82,34.75,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,81200,68.52
2006-03-15,Singida,Singida Urban,Singida,94,-4.82,34.75,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,67500,56.96
2006-03-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,36291.67,30.63
2006-03-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,64093.75,54.09
